Pris,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,URL,ID,Dager siden annonse,Nybygg,Land,Fylke,Postnummer,Kommune,Latitude,Longitude,Omkostninger,Totalpris,Kommunale avg.,Formuesverdi,Tomteareal,Aircondition,Alarm,Balkong/Terrasse,Takterasse,Barnevennlig,Bredbåndstilknytning,Fellesvaskeri,Garasje/P-plass,Heis,Ingen gjenboerer,Kabel-TV,Lademulighet,Livsløpsstandard,Moderne,Offentlig vann/kloakk,Parkett,Peis/Ildsted,Rolig,Sentralt,Utsikt,Vaktmester-/vektertjeneste,Bademulighet,Fiskemulighet,Turterreng
4490000,Leilighet,Eier (Selveier),2,79,835,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=232232065&location=0.22042&page=13&sort=PUBLISHED_DESC,232232065,"1 day, 0:00:00",1, Norge,Agder,4633, Kristiansand,58.1648917,8.0226417,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2350000,Tomannsbolig,Eier (Selveier),3,96,105,,1957,,https://www.finn.no/realestate/homes/ad.html?finnkode=232216337,232216337,"1 day, 0:00:00",0, Norge,Agder,4620, Kristiansand,58.1262356,7.9468311,71122,2421122,9284,584978,440,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
5500000,Leilighet,Eier (Selveier),3,119,119,3,2021,,https://www.finn.no/realestate/homes/ad.html?finnkode=232184460,232184460,0:00:00,0, Norge,Agder,4580, Lyngdal,58.139354,7.071093,149370,5649370,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6890000,Enebolig,Eier (Selveier),5,235,290,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=232020461&location=0.22042&page=13&sort=PUBLISHED_DESC,232020461,"131 days, 0:00:00",1, Norge,Agder,4641, Kristiansand,58.077182,7.762503,31342,6921342,,,,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
1900000,Leilighet,Eier (Selveier),,58,59,3,,C - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=231886315,231886315,"18 days, 0:00:00",0, Norge,Agder,4550, Farsund,58.0951418,6.8013487,58870,1958870,,,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100000,Leilighet,Eier (Selveier),2,54,55,,,C - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=231884217,231884217,"17 days, 0:00:00",0, Norge,Agder,4550, Farsund,58.0951418,6.8013487,63870,2163870,,,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2890000,Leilighet,Eier (Selveier),2,80,85,3,2014,B - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=231879036,231879036,0:00:00,0, Norge,Agder,4735, Evje og Hornnes,58.5866453,7.8071205,83620,2973620,10664,568507,3401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6650000,Leilighet,Eier (Selveier),1,71,71,6.,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=231803509&location=0.22042&page=13&sort=PUBLISHED_DESC,231803509,"4 days, 0:00:00",1,,Agder,,,,,16640,6666640,,,,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1
3190000,Enebolig,Eier (Selveier),3,134,140,,2016,C - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=204711788,204711788,0:00:00,0, Norge,Agder,4887, Grimstad,58.315846,8.544004,103392,3293392,,,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5290000,Enebolig,Eier (Selveier),3,103,179,,1950,G - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=231438175,231438175,"1 day, 0:00:00",0, Norge,Agder,4870, Grimstad,58.3791314,8.6904054,147892,5437892,17505,552180,4645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
