Finn_bolig_endret
Boligtype;Eieform bolig;Soverom;Primærrom;Bruksareal;Etasje;Byggeår;Energimerking;Pris;URL;ID;Nybygg;Enhetsid;Solforhold;Utendørsareal;Tomteareal;Bruttoareal;Rom;Ant etasjer;Tomt;Renovert år;Areal;Boligselgerforsikring;Grunnflate;Festeavgift
Leilighet;Andel;2;56;60;4;2021;C - mørkegrønn;1180000;https://www.finn.no/realestate/homes/ad.html?finnkode=235445685;235445685;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);2.0;69.5;;;2021;;6600000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238907983&page=3&sort=PUBLISHED_DESC;238907983;1;;;;;;;;;;69.5;;;
Leilighet;Andel;2;77;93;4;1972;G - mørkegrønn;1125000;https://www.finn.no/realestate/homes/ad.html?finnkode=238907941;238907941;0;;;;;;;;;;;;;
Leilighet;Andel;2;71;74;2;2003;;2590000;https://www.finn.no/realestate/homes/ad.html?finnkode=238907692;238907692;0;;;;;;3;;;;;;;
Leilighet;Eier (Selveier);1;35;35;2.;2021;;2590000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238907392&page=3&sort=PUBLISHED_DESC;238907392;1;;;;;;3;7;;;;;;
Leilighet;Eier (Selveier);2;92;100;4;2019;C - mørkegrønn;4950000;https://www.finn.no/realestate/homes/ad.html?finnkode=235377022;235377022;0;;;;;;;;;;;;;
Leilighet;Andel;1;52;55;2;1982;F - rød;1500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238907272;238907272;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);2;85;88;1;2005;;3300000;https://www.finn.no/realestate/homes/ad.html?finnkode=238906898;238906898;0;;;;15187;;;;;;;;;
Leilighet;Eier (Selveier);1;38;38;2;2020;;3190000;https://www.finn.no/realestate/homes/ad.html?finnkode=238904468;238904468;0;;;;;;2;;;;;;;
Leilighet;Eier (Selveier);2;72;72;1;1932;G - rød;3700000;https://www.finn.no/realestate/homes/ad.html?finnkode=238906788;238906788;0;;;;;;;;;;;;;
Tomannsbolig;Eier (Selveier);4;148;158;;2021;;6190000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238906654&page=3&sort=PUBLISHED_DESC;238906654;1;H0102;;;;;5;;;;;;;
Leilighet;Andel;1;60;72;4;1955;G - mørkegrønn;3200000;https://www.finn.no/realestate/homes/ad.html?finnkode=238500700;238500700;0;;;;;;;;;;;;;
