Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Pris,URL,ID,Nybygg,Enhetsid,Solforhold,Utendørsareal,Tomteareal,Bruttoareal,Rom,Ant etasjer,Tomt,Renovert år,Areal,Boligselgerforsikring,Grunnflate,Festeavgift
Enebolig,Eier (Selveier),5,204,204,,1955,F - gul,3490000,https://www.finn.no/realestate/homes/ad.html?finnkode=239214329,239214329,0,,,,1072,,,,,,,,,
Leilighet,Eier (Selveier),2,48,48,,1913,G - oransje,2750000,https://www.finn.no/realestate/homes/ad.html?finnkode=239214335,239214335,0,,,,,,3,,,,,,,
Enebolig,Eier (Selveier),3,149,154,,1982,E - gul,7500000,https://www.finn.no/realestate/homes/ad.html?finnkode=239213645,239213645,0,,,,716,,,,,,,,,
Leilighet,Eier (Selveier),3,109,128,1,1989,,2550000,https://www.finn.no/realestate/homes/ad.html?finnkode=239211943,239211943,0,,,,,,,,Eiet,,,,,
Enebolig,Eier (Selveier),4,183,192,,1988,E - oransje,4850000,https://www.finn.no/realestate/homes/ad.html?finnkode=238378086,238378086,0,,,,,,6,,,,,,,
Leilighet,Eier (Selveier),0,46,47,1,1959,E - mørkegrønn,4000000,https://www.finn.no/realestate/homes/ad.html?finnkode=239109160,239109160,0,,,,,,,,,,,,,
Enebolig,Eier (Selveier),5,320,347,,2006,,4000000,https://www.finn.no/realestate/homes/ad.html?finnkode=239213384,239213384,0,,,,1263,384,,,,,,,,
Enebolig,Eier (Selveier),3,128,132,,1981,,2750000,https://www.finn.no/realestate/homes/ad.html?finnkode=239213423,239213423,0,,,,278,,,,,,,Ja,,
Leilighet,Eier (Selveier),1,44,49,2,2019,B - mørkegrønn,3690000,https://www.finn.no/realestate/homes/ad.html?finnkode=239210525,239210525,0,,,,,,,,,,,,,
Leilighet,Andel,0,32,32,1,1969,G - rød,600000,https://www.finn.no/realestate/homes/ad.html?finnkode=239207854,239207854,0,,,,,,,,,,,,,
Rekkehus,Eier (Selveier),3,100,109,2,2011,C - mørkegrønn,2790000,https://www.finn.no/realestate/homes/ad.html?finnkode=239100581,239100581,0,,,,,,,,,,,,,
Rekkehus,Eier (Selveier),3,,109,2,2021,,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=199527150&page=3&sort=PUBLISHED_DESC,199527150,1,,,,,,,,,,,,,
Enebolig,Eier (Selveier),4,162,171,,2001,C - gul,2450000,https://www.finn.no/realestate/homes/ad.html?finnkode=239212777,239212777,0,,,,1022,,,,,,,,,
Enebolig,Eier (Selveier),4,,171,,2021,,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238281491&page=3&sort=PUBLISHED_DESC,238281491,1,,,,1022,,,,,,,,,
Leilighet,Andel,3,85,106,3,1974,G - rød,2090000,https://www.finn.no/realestate/homes/ad.html?finnkode=230452769,230452769,0,,,,,,,,,,,,,
