Boligtype;Eieform bolig;Soverom;Primærrom;Bruksareal;Etasje;Byggeår;Energimerking;Pris;URL;ID
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;1876000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=215654157&page=3&sort=PUBLISHED_DESC;215654157
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;11245000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=163090533&page=3&sort=PUBLISHED_DESC;163090533
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;8595000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=182944252&page=3&sort=PUBLISHED_DESC;182944252
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;6750000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=163868775&page=3&sort=PUBLISHED_DESC;163868775
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;3175000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=219284846&page=3&sort=PUBLISHED_DESC;219284846
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;4325000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=232216921&page=3&sort=PUBLISHED_DESC;232216921
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;2890000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=156336039&page=3&sort=PUBLISHED_DESC;156336039
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;2525000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=225498424&page=3&sort=PUBLISHED_DESC;225498424
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;2502500.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=232187222&page=3&sort=PUBLISHED_DESC;232187222
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;20250000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=207207044&page=3&sort=PUBLISHED_DESC;207207044
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;4890000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=205301136&page=3&sort=PUBLISHED_DESC;205301136
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;3890000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=192350668&page=3&sort=PUBLISHED_DESC;192350668
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;3420000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=208572697&page=3&sort=PUBLISHED_DESC;208572697
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;3650000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=214925879&page=3&sort=PUBLISHED_DESC;214925879
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;6290000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=215640728&page=3&sort=PUBLISHED_DESC;215640728
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;6273000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=195728835&page=3&sort=PUBLISHED_DESC;195728835
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;6400000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=232203484&page=3&sort=PUBLISHED_DESC;232203484
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;3690000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=202250420&page=3&sort=PUBLISHED_DESC;202250420
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;7760000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=202259091&page=3&sort=PUBLISHED_DESC;202259091
Leilighet;Aksje;;17;17;7;1952;C - mørkegrønn;2990000;https://www.finn.no/realestate/homes/ad.html?finnkode=226600524;226600524
Leilighet;Aksje;;17;17;7;1952;C - mørkegrønn;6140000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=211957503&page=4&sort=PUBLISHED_DESC;211957503
Leilighet;Aksje;;17;17;7;1952;C - mørkegrønn;3190000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=202240384&page=4&sort=PUBLISHED_DESC;202240384
Leilighet;Aksje;;17;17;7;1952;C - mørkegrønn;4350000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=232248868&page=4&sort=PUBLISHED_DESC;232248868
Leilighet;Aksje;;17;17;7;1952;C - mørkegrønn;12990000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=215648552&page=4&sort=PUBLISHED_DESC;215648552
